x	rho_sf	rho_sf_ana	rho_pin	rho_pin_ana	rho_crit
2.3438	1.1738e-09	5.0136e-11	0.007706	0.0076017	0.046596
2.373	1.0125e-09	3.5654e-11	0.0085743	0.0084578	0.042208
2.4023	8.7665e-10	2.5356e-11	0.0095587	0.0094279	0.03823
2.4316	7.617e-10	1.8032e-11	0.010672	0.010525	0.034623
2.4609	6.6393e-10	1.2824e-11	0.01193	0.011764	0.031355
2.4902	5.8037e-10	9.1196e-12	0.01335	0.01316	0.028394
2.5195	5.0864e-10	6.4855e-12	0.014949	0.014733	0.025712
2.5488	4.4681e-10	4.6122e-12	0.016749	0.016502	0.023282
2.5781	3.9331e-10	3.28e-12	0.018773	0.018491	0.021082
2.6074	3.4684e-10	2.3326e-12	0.021049	0.020726	0.01909
2.6367	3.0636e-10	1.6588e-12	0.023605	0.023234	0.017286
2.666	2.7097e-10	1.1797e-12	0.026475	0.026049	0.015653
2.6953	2.3997e-10	8.3895e-13	0.029695	0.029205	0.014174
2.7246	2.1272e-10	5.9663e-13	0.033306	0.032743	0.012836
2.7539	1.8874e-10	4.243e-13	0.037353	0.036706	0.011624
2.7832	1.6758e-10	3.0174e-13	0.041885	0.041142	0.010527
2.8125	1.4888e-10	2.1459e-13	0.046958	0.046104	0.0095343
2.8418	1.3232e-10	1.526e-13	0.052633	0.051653	0.0086353
2.8711	1.1765e-10	1.0853e-13	0.058976	0.057851	0.0078215
2.9004	1.0463e-10	7.7179e-14	0.06606	0.06477	0.0070847
2.9297	9.3059e-11	5.4886e-14	0.073963	0.072487	0.0064176
2.959	8.2774e-11	3.9033e-14	0.082773	0.081085	0.0058137
2.9883	7.3625e-11	2.7758e-14	0.092582	0.090654	0.0052668
3.0176	6.548e-11	1.9741e-14	0.10349	0.10129	0.0047717
3.0469	5.8226e-11	1.4039e-14	0.1156	0.1131	0.0043233
3.0762	5.1764e-11	9.9837e-15	0.12903	0.12619	0.0039172
3.1055	4.6006e-11	7.1e-15	0.14389	0.14067	0.0035495
3.1348	4.0875e-11	5.0492e-15	0.16031	0.15667	0.0032165
3.1641	3.6302e-11	3.5908e-15	0.1784	0.17429	0.0029148
3.1934	3.2228e-11	2.5536e-15	0.19829	0.19367	0.0026416
